content,id,tstamp,profilelink,screenname,timezone
NFL flexes Dallas Cowboys-Washington Redskins game http://t.co/Yim1aAzy,cbbbcf9395705611c3eeeffaa610a602,2012-12-24T09:51:43Z,http://a0.twimg.com/profile_images/415099904/ladainian-tomlinson_normal.jpg,Fight4EveryYard,Pacific Time (US & Canada)
@special_event32 redskins still suck,9b50b8be10460eab6c0f6f3590067bd7,2012-12-24T09:52:19Z,http://a0.twimg.com/profile_images/2687360343/b74f0ade3eb5be4f92faf9e31d0a0a61_normal.jpeg,_jpappps,Quito
RG3 leads Redskins over Eagles 27-20 (The Associated Press) PHILADELPHIA (AP) -- With one http://t.co/U4TA4HRw,77e1a37031884642b8d1bccad99516c6,2012-12-24T09:52:30Z,http://a0.twimg.com/profile_images/3000100432/4e63820c713a98befa84f7bb965154da_normal.jpeg,CowboysPage,Athens
"Correct me if I'm wrong, but #Giants can still get into playoffs if #Packers def #Vikings + #Redskins def #Cowboys? And NY wins of course.",0d4f533e658b47eefecadee60b61278e,2012-12-24T09:52:37Z,http://a0.twimg.com/profile_images/1103688472/jd_normal.jpg,jazadal,London
RG3 leads Redskins over Eagles 27-20 http://t.co/UZqXBQoV,a4a58402d1c33f85f3f38c0978255c7c,2012-12-24T09:53:16Z,http://a0.twimg.com/profile_images/2833068853/245284d72d32fffdb557f4ae5a854555_normal.jpeg,lbgood122,
RT @_2KnoMeIz2LuvMe: BREAKING NEWS - NFL - Cowboys-Redskins flexed to Sunday night game on Dec. 30; Packers-Vikings shifts to 4:25 pm ET,83e6a52e1c43d23659d9916e1302daad,2012-12-24T09:53:48Z,http://a0.twimg.com/profile_images/2992217644/28060208d1c3b2ad7eab9e1f513ee446_normal.jpeg,Tone301,Central Time (US & Canada)
"""@LBSports: Redskins fan Kevin Durant talks trash about Cowboys http://t.co/PKcXJ0bA"" another reason to love KD @TylerMF_Music",b0a3d2ff3c4f0d86a98a9fecc52a3676,2012-12-24T09:54:29Z,http://a0.twimg.com/profile_images/2125175904/mwbbbbbbbb_normal.jpg,MBran23,Arizona
RT @PGPackersNews: NFL just announced next Sunday's Packers-Vikings game has been moved to 3:25 p.m. Cowboys-Redskins is getting the pri ...,f84dcd20886cd289b90525099ab7b96a,2012-12-24T09:54:41Z,http://a0.twimg.com/profile_images/524670758/D_s_LA_Trip_Crop_normal.jpg,DarrenLohr,Central Time (US & Canada)
(Random) the Redskins are a legitimate team now we can beat you with or without a healthy RG3,5a01eefaacd6e21bffac014452d1f74f,2012-12-24T09:55:39Z,http://a0.twimg.com/profile_images/2935154021/101fc98b1f12a75d4bc603c83318b98c_normal.jpeg,_DEADLYnovember,Eastern Time (US & Canada)
YOUR Monday Morning Blog talks NFL and Toronto Raptors YwqLuyK5 CalvinJohnson #BigBen #RGIII #Cincinnati...... TUFNbJsf http://t.co/TUFNbJsf,59f3064cb1d918377a71a2f715b52948,2012-12-24T09:56:02Z,http://a0.twimg.com/profile_images/2259336793/Toronto_Raptors_Logo_normal.jpg,NBA_Raptors_,Arizona
"Old time rivalry- Cowboys vs Redskins... Heading for showdown on Sunday night, 12-30-12.",e4423e8a88933c744af2e94737494d33,2012-12-24T09:56:08Z,http://a0.twimg.com/profile_images/2594396999/image_normal.jpg,mzcaz8941,
"RT @Mani_Ova_Matter: I'm really mad as shit, I knew we couldn't beat the redskins tho",0435b355e2aeecdda515666bd6d09ade,2012-12-24T09:57:34Z,http://a0.twimg.com/profile_images/3008138105/bce5b9ca72148b9471a279eeee9d771b_normal.jpeg,_MarvinJr,Eastern Time (US & Canada)
"RG3 leads Redskins over Eagles 27-20 (The Associated Press): PHILADELPHIA (AP) -- With one more win, Robert Grif... http://t.co/xiCBC514",84f97a411805092b26f65a6c2d181162,2012-12-24T09:58:22Z,http://a0.twimg.com/profile_images/376440848/baltimoreravens_normal.gif,ravenschatroom,Quito
NFL flexes Dallas Cowboys-Washington Redskins game - http://t.co/HAxAKHKC,f05ff110f754c735c67c3344f0da32f2,2012-12-24T09:59:53Z,http://a0.twimg.com/profile_images/2484424329/l9xr7xrp7fazqwn7fb34_normal.jpeg,thegameworld1,Abu Dhabi
RG3 Leads Redskins Over Eagles 27-20 http://t.co/DJp9AwZT,2884b401a994c8c6c56755189a2cdfe4,2012-12-24T10:00:04Z,http://a0.twimg.com/profile_images/1236870871/ffootballavatar_normal.png,ffootball,Mountain Time (US & Canada)
Washington Redskins vs. Philadelphia Eagles Preview: Hail Skins (video) http://t.co/JbcQsh95,359c816c7e929c797868730b331abd3a,2012-12-24T10:01:40Z,http://a0.twimg.com/profile_images/1480301054/phi_normal.png,EaglesDaily,Eastern Time (US & Canada)
Bet the Eagles wont be tweet tweeting today lol. Hail Redskins,c6bbdca22b2cae8365cd7278848743bc,2012-12-24T10:01:56Z,http://a0.twimg.com/profile_images/2231484975/001_normal.jpg,MutantMarine,
Dallas #Cowboys given reprieve for showdown with Redskins – Fort Worth Star Telegram http://t.co/CCWLEstt,6cc4c872f89cff4d4bdec1237a717c5b,2012-12-24T10:02:02Z,http://a0.twimg.com/profile_images/1562590215/summer2011_normal.jpg,DallaSports,
Shut up RT @EaglesDaily: Washington Redskins vs. Philadelphia Eagles Preview: Hail Skins (video) http://t.co/guSZz8Uv,89e62b7db4ff4445f272373c98f42ca9,2012-12-24T10:02:45Z,http://a0.twimg.com/profile_images/2985952139/acbc997d5414f6c1616c1f8d24353b67_normal.png,BobbyInPhoenix,Central Time (US & Canada)
"NFL playoff picture: Redskins in control with win, Cowboys loss http://t.co/BLo40Nwd via @sbnation",62f623a4fd9745dd89a1a95abbf93461,2012-12-24T10:03:21Z,http://a0.twimg.com/profile_images/2690899348/c76289a2ae299c6d72ef166863774594_normal.jpeg,TriciaProctor,Eastern Time (US & Canada)
@__Hibernian__ @jamesbear19 Agreed. Just support the Redskins with me #RG3,b34f0e5bc6715c1fc5b050e89c146f7d,2012-12-24T10:04:33Z,http://a0.twimg.com/profile_images/2411690976/cc2pqljhp1ec0e3eido2_normal.jpeg,BurgessMitch,
"My start of the season picks were Atlanta Falcons, Houston Texans and Redskins, so do I still look crazy?",f277132910dbbfb187b7c3d307731a60,2012-12-24T10:04:37Z,http://a0.twimg.com/profile_images/2937118598/6699650cb4e8e79229db8922b2ce558c_normal.jpeg,MikeCorruption,London
Flyttad match och ett avgörande som kan bli än mer dramatiskt än i fjol. http://t.co/KVnICDVL #cowboys #dallascowboys #gogocowboys,0470b099b0d1fdfc2822a81e74d98681,2012-12-24T10:06:09Z,http://a0.twimg.com/profile_images/2691010031/6c4913fc9972c0adee093e33fdb079e1_normal.jpeg,victorkennmark,Stockholm
"Seeing my girl Melanie, Redskins winning, Cowboys and Giants losing, supervisors on vacation all week... I couldn't ask for a better Monday!",67300134720bc45d6b6289331bf59a60,2012-12-24T10:10:28Z,http://a0.twimg.com/profile_images/2758493292/ae2421bea591efc8722b3b8b6aff0613_normal.jpeg,kendollmike,
RT @4D_FaSho707_SRD: Redskins got a interesting playbook #Madden13,fcd15ea46583f1a284caab9a66bdfb90,2012-12-24T10:11:02Z,http://a0.twimg.com/profile_images/3003743098/3d93c246641795fdda31b0f2390f42ed_normal.jpeg,MossAllDay,Eastern Time (US & Canada)
@pianniwheels haha that tweet is saved 👍👍👍👍🚲🚲🚲 come on the redskins,91cca8266ee39344d38cd515c075b811,2012-12-24T10:11:06Z,http://a0.twimg.com/profile_images/2403962247/image_normal.jpg,Lockey28,
RG3 leads Redskins over Eagles 27-20 - Yahoo! News http://t.co/nej9sTSW,55d55ffe7d11e164cfb75964316b58b5,2012-12-24T10:11:57Z,http://a0.twimg.com/profile_images/2483257075/bmp9jzkbqmitdrhm03dw_normal.jpeg,elanakostbar,Eastern Time (US & Canada)
RT @BmitchliveCSN: #Redskins #Cowboys has been flexed to Sunday Night Football. #NBC #NFL #winnertakeall Exclusive coverage on @ESPNRadi ...,81f10d04d2727b1614483d20354122c6,2012-12-24T10:12:39Z,http://a0.twimg.com/profile_images/2205179168/profile_normal.png,YungSuaveBoy,Eastern Time (US & Canada)
RT @roserocks_: @Mortalblade Thank you!  #RockOn @millanovillano @LovePrevention @Redskins @BANDAMONIUM @kirra_spray @leannegrant_ @laug ...,7743a5fb82b8847e850ab31d58ca4e6b,2012-12-24T10:12:41Z,http://a0.twimg.com/profile_images/3004326456/bc26f2bd01706ccd6824d69e537ce7ca_normal.jpeg,Mortalblade,Wellington
Dallas Cowboys  update: Countdown Daily AccuScore: NO-DAL... http://t.co/R2Iw1yqo #NFL #football,c370b118f3062c58fac90d084bab4d1d,2012-12-24T10:12:44Z,http://a0.twimg.com/profile_images/2629577113/18f2a32d0cbd1797ffd5e10ccbf23399_normal.jpeg,NFL_TeamNews,
"RG3 leads Redskins over Eagles 27-20 (The Associated Press): PHILADELPHIA (AP) -- With one more win, Robert Grif... http://t.co/oXxQuLru",4988dbbe5fb05fe0912d7248b787c172,2012-12-24T10:12:48Z,http://a0.twimg.com/profile_images/523545685/DSC_0772w_normal.jpg,PhillySports,Eastern Time (US & Canada)
Something in sports that makes me sick: when someone is from DC area & loves the Cowboys- especially w/no connection to Dallas! #Redskins,1782b120bd94e4e060af12a5c814c69c,2012-12-24T10:13:12Z,http://a0.twimg.com/profile_images/2450196678/7A9F37DE-50CD-4E3F-AE58-960AE9A90D4C_normal,JTWinner,Eastern Time (US & Canada)
@kdaywins really lol wow! N the redskins,a238bba41ede9e4e651eb05cc4858735,2012-12-24T10:13:16Z,http://a0.twimg.com/profile_images/3014065393/6f75e6fe1e9354de58653aa80840ba2b_normal.jpeg,EZKomeEZGo,Pacific Time (US & Canada)
Eagles aint good for shit either...niggas was supposed to beat the Redskins today...fuck it...guess My Giants gonna take a year off..,ff6106f9f7c01bfb79e5c8e6ad61ade9,2012-12-24T10:14:05Z,http://a0.twimg.com/profile_images/1879695922/frazier_4_nights..._normal.jpg,MarcDoneGrown23,Quito
