,log,cluster
1,NFL flexes Dallas Cowboys-Washington Redskins game http://t.co/Yim1aAzy,2
2,@special_event32 redskins still suck,2
3,RG3 leads Redskins over Eagles 27-20 (The Associated Press) PHILADELPHIA (AP) -- With one http://t.co/U4TA4HRw,6
4,"Correct me if I'm wrong, but #Giants can still get into playoffs if #Packers def #Vikings + #Redskins def #Cowboys? And NY wins of course.",2
5,RG3 leads Redskins over Eagles 27-20 http://t.co/UZqXBQoV,6
6,RT @_2KnoMeIz2LuvMe: BREAKING NEWS - NFL - Cowboys-Redskins flexed to Sunday night game on Dec. 30; Packers-Vikings shifts to 4:25 pm ET,4
7,"""@LBSports: Redskins fan Kevin Durant talks trash about Cowboys http://t.co/PKcXJ0bA"" another reason to love KD @TylerMF_Music",2
8,RT @PGPackersNews: NFL just announced next Sunday's Packers-Vikings game has been moved to 3:25 p.m. Cowboys-Redskins is getting the pri ...,4
9,(Random) the Redskins are a legitimate team now we can beat you with or without a healthy RG3,2
10,YOUR Monday Morning Blog talks NFL and Toronto Raptors YwqLuyK5 CalvinJohnson #BigBen #RGIII #Cincinnati...... TUFNbJsf http://t.co/TUFNbJsf,2
11,"Old time rivalry- Cowboys vs Redskins... Heading for showdown on Sunday night, 12-30-12.",4
12,"RT @Mani_Ova_Matter: I'm really mad as shit, I knew we couldn't beat the redskins tho",2
13,"RG3 leads Redskins over Eagles 27-20 (The Associated Press): PHILADELPHIA (AP) -- With one more win, Robert Grif... http://t.co/xiCBC514",6
14,NFL flexes Dallas Cowboys-Washington Redskins game - http://t.co/HAxAKHKC,2
15,RG3 Leads Redskins Over Eagles 27-20 http://t.co/DJp9AwZT,6
16,Washington Redskins vs. Philadelphia Eagles Preview: Hail Skins (video) http://t.co/JbcQsh95,2
17,Bet the Eagles wont be tweet tweeting today lol. Hail Redskins,2
18,Dallas #Cowboys given reprieve for showdown with Redskins – Fort Worth Star Telegram http://t.co/CCWLEstt,2
19,Shut up RT @EaglesDaily: Washington Redskins vs. Philadelphia Eagles Preview: Hail Skins (video) http://t.co/guSZz8Uv,2
20,"NFL playoff picture: Redskins in control with win, Cowboys loss http://t.co/BLo40Nwd via @sbnation",2
21,@__Hibernian__ @jamesbear19 Agreed. Just support the Redskins with me #RG3,2
22,"My start of the season picks were Atlanta Falcons, Houston Texans and Redskins, so do I still look crazy?",2
23,Flyttad match och ett avgörande som kan bli än mer dramatiskt än i fjol. http://t.co/KVnICDVL #cowboys #dallascowboys #gogocowboys,2
24,"Seeing my girl Melanie, Redskins winning, Cowboys and Giants losing, supervisors on vacation all week... I couldn't ask for a better Monday!",2
25,RT @4D_FaSho707_SRD: Redskins got a interesting playbook #Madden13,2
26,@pianniwheels haha that tweet is saved 👍👍👍👍🚲🚲🚲 come on the redskins,2
27,RG3 leads Redskins over Eagles 27-20 - Yahoo! News http://t.co/nej9sTSW,6
28,RT @BmitchliveCSN: #Redskins #Cowboys has been flexed to Sunday Night Football. #NBC #NFL #winnertakeall Exclusive coverage on @ESPNRadi ...,4
29,RT @roserocks_: @Mortalblade Thank you!  #RockOn @millanovillano @LovePrevention @Redskins @BANDAMONIUM @kirra_spray @leannegrant_ @laug ...,2
30,Dallas Cowboys  update: Countdown Daily AccuScore: NO-DAL... http://t.co/R2Iw1yqo #NFL #football,2
31,"RG3 leads Redskins over Eagles 27-20 (The Associated Press): PHILADELPHIA (AP) -- With one more win, Robert Grif... http://t.co/oXxQuLru",6
32,Something in sports that makes me sick: when someone is from DC area & loves the Cowboys- especially w/no connection to Dallas! #Redskins,2
33,@kdaywins really lol wow! N the redskins,2
34,Eagles aint good for shit either...niggas was supposed to beat the Redskins today...fuck it...guess My Giants gonna take a year off..,2
35,"@jmariedowns @espnnfl @dallascowboys @redskins #jerk!
I know really disappointing unacceptable turn of events!!!!",2
36,#ROYWatch Would you be shocked if the #Colts made the Super Bowl? Yes. #Redskins? Yes. #Seahawks? Not after today. #RusselWilson is your ROY,2
37,RG3 leads Redskins over Eagles 27-20 https://t.co/QBTRqEbR,6
38,"Redskins was crushing Dallas on Thanksgiving til they let them comeback but not this time, it's OUR HOUSE. Gonna wreck y'all. Division baby!",2
39,If you are one of these “NBD” (never been to Dallas) Cowboys fans your presence in FedEx Field on Sunday is not welcome! #HTTR #Redskins,2
40,RG3 leads Redskins over Eagles 27-20 (The Associated Press) #NFL #FantasyFootball http://t.co/PrgKSjjK,6
41,@cowboysbuzztap Disappointing all year!!!😠😡😤 #DallasCowboys #cowboynation #cowboys,2
42,@cowboysbuzztap Too many excuses!!! 😠😡😤 #cowboys #cowboynation #DallasCowboys,2
43,RT @dmn_cowboys: Witten sets NFL record for receptions by a tight end in a single season: ARLINGTON — With a five-yard catch at t... htt ...,2
44,"@Stuntin0nY0u great game man, next week boyyyy we gotta take out the redskins",2
45,"^@^ Direct Streaming Link: LIVE Dallas Cowboys VS Washington Redskins Online Streaming HD TV.Ultimate Live Coverage,Soap Cast,Pod…",2
46,RT @JoelMadden: Thanks @Redskins for making my Holiday weekend feel like a Win!!! #HTTR @Trey_Deuces @RGIII,2
47,"""@ESPNNFL: BREAKING: Cowboys at Redskins flexed to Sunday Night Football on NBC - 820pm ET"" @travisthrasher good luck my friend",4
48,@cowboysbuzztap As it should be!!! #CowboysNation #cowboys #DallasCowboys,2
49,"RT @TrapBasquiat: *reported as spam* RT @SuedeMoccasins: Dawg, CHILL! “@_CharlieMonroe: With that being said, fuck the redskins lol”",2
50,@cowboysbuzztap He should be used to it by now!!!😠😡😤 #CowboysNation #cowboys #DallasCowboys,2
51,@ESPN_Colin Cowboys Vs Redskins For NFC East,2
52,RT @CowboysBeat: Dallas Cowboys: Players Who Must Step Up in Tell-All Game Against Redskins: Despite the 34-31 overtime ... http://t.co/ ...,2
53,@JoeGiglioSports Yeah the Redskins.,2
54,LogoArt Washington Redskins 18... http://t.co/bJ3rDbnJ,2
55,Cowboys and Indians Sunday night. Go Redskins!!! http://t.co/p42QVeX1,4
56,"@InSideOf_Quis If giants,cowboys,and redskins go 9-7 yah have the tie breaker because yah have the better common record.",2
57,"Da #Redskins, Cowboys & Giants are all tired with 7 NFC wins  @dlb703 Da Vikings have 6& Da Seahawks got their 8th earlier tonight.",2
